ID,output
TEST_0000,너무너무 만족스러운 호텔이에요. 부산에 오면 꼭 추천하고 싶은 곳이에요. 최고입니다! ᄒᄒ 다음에 또 올 것 같아요.
TEST_0001,"프론트가 없고, 조식도 없으며, 일반 입주민들이 사이사이에 있어 호텔처럼 관리가 잘 안 되는 느낌이네요. 가성비가 떨어져요."
TEST_0002,"진짜 불친절해요. 살면서 머물렀던 호텔 중에 최악이었습니다. 직원인지 사장인지 체크인할 때부터 친절함 1도 없었구요. 3인 예약하고 추가 금액까지 결제했는데 수건 추가로 요청드리니 규정상 수건 4개밖에 제공이 안 된다네요. 2시간 정도 외출하고 다시 들어갈 때 몇 호시나, 2분 예약하지 않았냐 물어봤네요(체크인할 때와 같은 분). 추가금 결제했고 카드 결제 안내 문자도 보내드렸는데도 카드번호 몇 번인지 결제한 시간, 분, 추가금 물어보시더라고요. 결제한 영수증 직접 작성하신 다음, 호수 잘못 졌다 한마디 하셨어요. 사과 한 마디 없으셨구요. 어이가 없고 상당히 불쾌했습니다. 그리고 냉장고에서 생선 비린내 나요. 물에서도 비린내 나요. 침대도 불편하고, 침대도 불편했어요."
TEST_0003,"뷰 맛집~~ 그런데 방음이 너무하네요. 층간 소음과 발코니가 이중장이 아니라서 밤에 파도 소리, 아침에 까치기인지 까마귀인지 계속 울어서 잠을 못 잤어요ᅲ 그런데 뷰는 너무 좋아요~~~"
TEST_0004,방 상태는 진짜 폐업 직전인데 전망은 좋아요. 보일러가 아주 잔잔하게 돌아가서 추웠어요. 화장실에 비누만 있어서 샴푸 같은 거 다 가지고 와야 해요.
TEST_0005,"광안대교 뷰 하나만 보고 갔는데, 객실도 넓고 나름 깨끗했습니다! 제가 기가 안 좋아서 체크인할 때 웃분 해분이 있었는데, 직원분이 친절하게 대응해주셨습니다! 주차를 할 수 있다는 점은 좋았지만, 주차 관리인이 불친절해서 아쉽습니다."
TEST_0006,"광안대교가 잘 보여 숙소에서 편안하게 뷰를 감상할 수 있어서 좋았습니다. 객실이 전체적으로 화이트 톤이라서 사진을 찍으면 덜 화하게 나오고, 입구에서부터 신발을 벗고 들어가서 더욱더 청결한 느낌을 받았습니다. 화장실, 샤워실, 세면대가 각각 분리되어 있는 것도 인상 깊습니다. 직원분들도 친절하시고, 웰컴 키트, 조식 굿바이 키트도 감사합니다! 편안하게 잘 쉬고 좋은 시간 보내고 갑니다."
TEST_0007,"절대 가지 마세요. 호텔 직원이 공공기관 운영 한다고 지들이 고객이라고 어찌나 태도가 고장난데다가 고객을 지들이 지지하려는 불친절의 극치이고, 시설은 시골 여관 방 수준임."
TEST_0008,"아이와 첫 여행이라고 적어서 예약했더니 퇴실 시간도 늦어 주시고 와인도 서비스로 주셨습니다. 직원분들 전부 친절하시고 상냥하셨습니다. 방도 깔끔하고 뷰도 좋습니다. 방음이 살짝 안 되는 게 아쉬웠지만, 잘 쉬었습니다. 감사해요!"
TEST_0009,두 번째 방문인데 너무 깔끔하고 오션뷰가 끝장나요. 조식도 챙겨주시고 서비스도 너무 좋아요. 광안리는 호텔 1이 최고입니다ᅲᅲ
TEST_0010,체크아웃 시간인 10시에 엘리베이터 타는데만 40분 이상 걸림. 그래서 10시 40분에 방에서 나와도 될 정도.
